,g0,eMax,eLen,eList,fid,fidnum,fid2
0,0.0769230769230769,2,2,"[2.0, 2.0]",0.2489723650867552,0.2547496530472764,0.24966981127774557
1,0.0769230769230769,3,2,"[3.0, 3.0]",0.5013138839709023,0.4995411567777172,0.502349103500827
2,0.0769230769230769,4,2,"[4.0, 3.47665854]",0.6378834987598381,0.6094660938189466,0.6381965667241338
3,0.0769230769230769,5,2,"[4.30644925, 3.42674168]",0.6471548360648565,0.6018560737774691,0.6471309026760231
4,0.0769230769230769,6,2,"[6.0, 6.0]",0.754989155740233,0.1584987306309994,0.7566804165569673
5,0.0769230769230769,8,2,"[4.74765865, 7.96119146]",0.8064567531248817,0.0968262428786864,0.8058865271620677
6,0.0769230769230769,10,2,"[4.74767124, 7.96119178]",0.8064567531510527,0.0968261092281878,0.8058864833613968
7,0.0769230769230769,2,3,"[2.0, 2.0, 2.0]",0.3326161998323286,0.3362268099795214,0.3335614521618513
8,0.0769230769230769,3,3,"[3.0, 3.0, 3.0]",0.686463006273526,0.6570968858331825,0.6879936976713908
9,0.0769230769230769,4,3,"[4.0, 4.0, 3.39113346]",0.931478106699254,0.7390382431071454,0.9320398774735803
10,0.0769230769230769,5,3,"[4.72055143, 3.93447483, 3.42195663]",0.9705181600603102,0.723089656485741,0.9704827411822299
11,0.0769230769230769,6,3,"[4.72054852, 3.93447765, 3.42196611]",0.970518160083612,0.7230892234505085,0.9704827337447404
12,0.0769230769230769,8,3,"[4.72055349, 3.93447307, 3.42196437]",0.9705181600724136,0.723089302558522,0.9704827365413523
13,0.0769230769230769,10,3,"[4.72054241, 3.93447955, 3.42196684]",0.9705181600858088,0.7230889014456287,0.97048273824782
14,0.0769230769230769,2,4,"[2.0, 2.0, 2.0, 2.0]",0.3667381647652796,0.3634341560607543,0.36776512015140406
15,0.0769230769230769,3,4,"[3.0, 3.0, 3.0, 2.49486481]",0.7375289160409334,0.6921872141589624,0.7392013871639959
16,0.0769230769230769,4,4,"[4.0, 4.0, 3.69069554, 2.26722955]",0.9911534709349434,0.7879729264952956,0.9915159628470314
17,0.0769230769230769,5,4,"[3.91054224, 4.19419975, 3.74125584, 2.38935055]",0.9963848144344094,0.77317354613414,0.996338201946886
18,0.0769230769230769,6,4,"[3.91067484, 4.19417615, 3.74119672, 2.38926212]",0.9963848143343238,0.7731756116025115,0.9963382183292253
19,0.0769230769230769,8,4,"[3.91087281, 4.19413244, 3.74111383, 2.38899123]",0.9963848139065729,0.7731736288425423,0.9963383006670137
20,0.0769230769230769,10,4,"[3.91108048, 4.19407675, 3.74109733, 2.38888909]",0.9963848135663932,0.7731675041853961,0.9963382378320318
21,0.0769230769230769,2,5,"[0.0, 2.0, 2.0, 2.0, 2.0]",0.3667381647652796,0.3634345784268513,0.36776512015140406
22,0.0769230769230769,3,5,"[3.0, 3.0, 3.0, 3.0, 1.76288565]",0.7418997116494386,0.6743682914600251,0.7434811159143109
23,0.0769230769230769,4,5,"[4.0, 4.0, 3.76745115, 2.42540346, 1.14966943]",0.9946962060303324,0.7862869133855709,0.9950095963403142
24,0.0769230769230769,5,5,"[4.34374435, 4.08254234, 3.7021404, 2.16782368, 1.19394963]",0.9993647976220836,0.7616797501493161,0.9993203302447305
25,0.0769230769230769,6,5,"[4.34368054, 4.08256458, 3.70216241, 2.16787787, 1.19392297]",0.9993647975952356,0.7616802050246565,0.9993203011949773
26,0.0769230769230769,8,5,"[4.3436844, 4.08256597, 3.70216307, 2.16788058, 1.19399855]",0.9993647975353652,0.7616782900776412,0.9993203083322714
27,0.0769230769230769,10,5,"[4.34364304, 4.0825769, 3.70215389, 2.16787156, 1.19387809]",0.99936479755165,0.7616812669043782,0.999320320598497
28,0.0769230769230769,2,6,"[0.0, 0.0, 2.0, 2.0, 2.0, 2.0]",0.3667381647652796,0.363434446866272,0.36776512015140406
29,0.0769230769230769,3,6,"[0.0, 3.0, 3.0, 3.0, 3.0, 1.76292939]",0.7418997117828088,0.674368122809087,0.7434811199946759
30,0.0769230769230769,4,6,"[0.0, 3.12325688, 4.0, 4.0, 3.05750842, 1.4690436]",0.992153761397612,0.7942471579032041,0.9924996889794128
31,0.0769230769230769,5,6,"[0.0, 4.34381746, 4.08253966, 3.70214117, 2.16775657, 1.19404062]",0.9993647975865751,0.7616723675550088,0.999320288384011
32,0.0769230769230769,6,6,"[0.73426487, 1.9599926, 4.11929175, 4.18059618, 3.47247882, 1.90559511]",0.9977436223532716,0.7797584915201979,0.9976947911287048
33,0.0769230769230769,8,6,"[4.3437632, 4.08255432, 3.70215484, 2.16770127, 1.19395091, 0.0]",0.9993647972273276,0.7616706162234721,0.9993202962865022
34,0.0769230769230769,10,6,"[0.0, 4.14140065, 2.42268225, 3.39897697, 4.85101997, 3.79594688]",0.9840162060460116,0.6725689093641071,0.9839720981231947
35,0.0769230769230769,2,7,"[0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0]",0.3667381647652796,0.3634343140405256,0.36776512015140406
36,0.0769230769230769,3,7,"[3.0, 3.0, 3.0, 3.0, 1.76304799, 0.0, 0.0]",0.7418997118219323,0.6743666278720656,0.7434811307328788
37,0.0769230769230769,4,7,"[4.0, 4.0, 3.76746682, 2.42533462, 1.14979777, 0.0, 0.00462229]",0.9946962042323908,0.7862882950005727,0.9950096210416037
38,0.0769230769230769,5,7,"[2.45813304, 2.63264969, 0.0, 2.73900829, 5.0, 3.89961605, 2.84728187]",0.9994715359295028,0.799989560399197,0.9994069586394217
39,0.0769230769230769,6,7,"[0.0, 0.0, 4.3434975, 4.08261798, 3.70220524, 2.16806375, 1.19387827]",0.9993647965642392,0.761684705765922,0.9993202674883952
40,0.0769230769230769,8,7,"[0.000371035297, 4.34403046, 4.08248072, 3.70211891, 2.16757135, 1.19399094, 0.0]",0.9993647962367134,0.7616672476166885,0.9993202471240035
41,0.0769230769230769,10,7,"[4.93331319, 4.53641655, 3.87160224, 1.9346153, 2.23645164, 2.49192314, 1.71765289]",0.9995013872280138,0.5511823685927834,0.9994606009027999
42,0.0769230769230769,2,8,"[0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 4.07119667e-07]",0.3667381647652775,0.3634341559597278,0.36776512015141494
43,0.0769230769230769,3,8,"[0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 3.0, 1.76283273]",0.7418997114024061,0.6743689684195342,0.7434811108910254
44,0.0769230769230769,4,8,"[4.0, 4.0, 4.0, 2.95518955, 0.97831183, 0.0, 1.0529061, 1.76085499]",0.9969126156755364,0.7557436119508019,0.997104195927677
45,0.0769230769230769,5,8,"[2.62425492, 0.73103568, 0.0, 0.0, 4.7194363, 4.21095066, 3.75728116, 2.21662686]",0.9999766018356868,0.7579561470618235,0.9999208176972708
46,0.0769230769230769,6,8,"[3.80569251, 3.86981644, 3.5548285, 0.0, 3.4187931, 5.07953386, 5.51202912, 4.56363114]",0.9984904227110882,0.3130343198789744,0.9983913239156401
47,0.0769230769230769,8,8,"[2.62623711, 0.73268121, 0.2041607, 0.0, 4.72688672, 4.20952551, 3.7522844, 2.20947286]",0.9999776424610584,0.7586478722086496,0.9999218478498131
48,0.0769230769230769,10,8,"[5.12272729, 5.39492291, 5.08983577, 3.9068512, 1.97060319, 4.35602103, 3.76730415, 2.6282996]",0.9999557540164687,0.1659276694979886,0.9998373976276047
49,0.0769230769230769,2,9,"[2.0, 2.0, 8.11010579e-05, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]",0.4127356845269521,0.433159916505178,0.41374864014817136
50,0.0769230769230769,3,9,"[3.0, 3.0, 3.0, 3.0, 1.76289327, 0.0, 0.0, 0.0, 0.0]",0.7418997116772641,0.6743682271249635,0.7434811166298025
51,0.0769230769230769,4,9,"[0.0, 0.0, 4.0, 4.0, 3.76746468, 2.42546703, 1.14962237, 0.0, 0.000999952145]",0.994696205687312,0.7862899532467348,0.9950095406969066
52,0.0769230769230769,5,9,"[2.65494137, 1.41560958, 1.76083372, 0.01135456, 2.10354137, 4.74243441, 4.18134254, 3.72784886, 2.13210388]",0.999988211908403,0.7572367170107617,0.9999334711929548
53,0.0769230769230769,6,9,"[4.35462432, 3.80122018, 3.21045628, 1.18567452, 1.55843999, 3.42633654, 5.86740151, 3.8094463, 2.16299542]",0.9999426911862604,0.3564143625214709,0.9997634515141763
54,0.0769230769230769,8,9,"[3.41282104, 3.22936426, 1.71301306, 6.91485168, 4.37255935, 5.89734839, 0.0, 0.0, 3.08096247]",0.9936084429497292,0.0964816325554028,0.9932951001420965
55,0.0769230769230769,10,9,"[5.29510756, 2.05000324, 4.01250482, 1.99680511, 4.17470792, 0.76389848, 4.8826897, 1.80556449, 3.74574795]",0.9798518434930976,0.4170038682904744,0.9795474547665847
56,0.0769230769230769,2,10,"[2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]",0.5317215541168853,0.5515150830086533,0.5329993647336533
57,0.0769230769230769,3,10,"[3.0, 1.93635451, 1.61745316, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 3.0]",0.8443003696514502,0.8363551885595981,0.8451576842599252
58,0.0769230769230769,4,10,"[3.49038164, 0.0, 0.0, 0.0, 2.75168283, 0.88558901, 4.0, 4.0, 4.0, 2.60935021]",0.9982988674051496,0.7358846765620299,0.9984518843741759
59,0.0769230769230769,5,10,"[3.81345726, 4.36694534, 4.41750275, 4.18863268, 4.45086541, 4.14640478, 4.4304545, 4.02646247, 3.53515406, 2.5068085]",0.9999981259801648,0.5040015232363285,0.9997033572081571
60,0.0769230769230769,6,10,"[4.61746228, 4.63921583, 4.49771625, 3.954748, 3.87821611, 3.3043185, 3.14978668, 3.4099666, 3.33729705, 2.00844876]",0.9999973559670128,0.4871286130848674,0.9999038077163837
61,0.0769230769230769,8,10,"[0.0, 5.0184056, 2.01117961, 2.37483944, 2.9788077, 4.98458655, 2.06549424, 3.00790731, 5.41824266, 2.87581117]",0.9992121565270664,0.3596808551625355,0.9990693537174116
62,0.0769230769230769,10,10,"[3.99394003, 3.97807829, 3.99891983, 4.25305314, 6.5527337, 5.45262463, 4.75377953, 4.94155475, 3.86452188, 2.92121736]",0.9999988593896032,0.0942042891917798,0.999269267898059
63,0.0769230769230769,2,11,"[2.0, 2.0, 2.0, 1.62956354, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]",0.6138748677117486,0.6256939337345226,0.6153753776774875
64,0.0769230769230769,3,11,"[3.0, 3.0, 2.14141237, 1.71821748, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 3.0]",0.9581443888609256,0.912088214796374,0.9584536260593581
65,0.0769230769230769,4,11,"[4.0, 3.78323189, 3.99953547, 3.49068232, 2.72282416, 0.32744249, 0.07638135, 1.85979568, 2.50356829, 2.12706333, 1.42569084]",0.999945237616635,0.8127805539795934,0.9999107630011966
66,0.0769230769230769,5,11,"[2.03244271, 3.08640201, 4.26965822, 4.70533621, 4.55322305, 4.11880881, 4.90868074, 4.31155398, 4.27202766, 2.93815482, 1.33782246]",0.9999949921728872,0.4102237254528343,0.9996131136171202
67,0.0769230769230769,6,11,"[5.33730125, 5.41474108, 5.01366266, 3.87319474, 2.97720866, 4.49011423, 3.94315069, 1.59362335, 0.0, 1.36764407, 2.53951416]",0.9999362282351788,0.1634103742213319,0.9998132815638863
68,0.0769230769230769,8,11,"[0.09996591, 0.0, 0.02333677, 3.75709449, 2.24113852, 1.89297954, 1.72726153, 6.07083036, 6.3412409, 5.4051187, 4.5768838]",0.9992895497141348,0.1048186896179246,0.9986639053934484
69,0.0769230769230769,10,11,"[4.9912055, 5.26122638, 6.0887265, 2.37140577, 6.23404604, 2.70877195, 3.88515263, 4.45474067, 3.54513314, 3.43077177, 5.15217027]",0.9990950436608276,0.0983779452031602,0.9989025199503694
70,0.0769230769230769,2,12,"[2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.96726812, 2.0, 2.0, 2.0]",0.6506467034017368,0.6436681378160787,0.6521644862362372
71,0.0769230769230769,3,12,"[3.0, 3.0, 3.0, 1.66439064, 0.58456566, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 2.57680567]",0.998664564753686,0.9320210715733104,0.9988305612135446
72,0.0769230769230769,4,12,"[2.31313424, 3.00783591, 0.0, 0.0, 1.06233684, 0.0, 0.15660283, 2.61055237, 3.44946681, 3.82153135, 3.13792614, 2.59067397]",0.9999972921904844,0.8549245534549428,0.9999648842232315
73,0.0769230769230769,5,12,"[3.42265483, 3.06285265, 3.49231561, 3.39181677, 2.94626682, 1.45595071, 0.40190348, 0.0, 0.66691055, 2.69183679, 2.94310503, 2.51440969]",0.9999990791206826,0.8929342140339908,0.9999732539468171
74,0.0769230769230769,6,12,"[2.95467664, 0.65804144, 1.08208819, 0.0, 0.82988989, 3.35657547, 3.06160131, 4.55807092, 3.64067361, 2.67363949, 0.0, 1.43055157]",0.999902588084919,0.7637116070252119,0.999854623676197
75,0.0769230769230769,8,12,"[4.36929826, 3.67709603, 4.22442313, 3.93385485, 4.85112846, 3.20924822, 1.44606373, 5.12177139, 2.12517538, 4.83693686, 4.5144061, 2.0398618]",0.9998772820290652,0.372617624777351,0.9997423758934825
76,0.0769230769230769,10,12,"[2.98708389, 5.21980671, 0.19313818, 2.94480587, 4.51473743, 2.1918745, 1.7302753, 7.39781314, 6.25692172, 6.60992896, 6.51444769, 4.67930843]",0.9967541329359808,0.1029710482036989,0.9941790816631774
77,0.0769230769230769,2,13,"[2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.43624927, 2.0, 2.0, 2.0, 1.54586575]",0.6556476042603705,0.6435854649799144,0.6571579817589783
78,0.0769230769230769,3,13,"[3.0, 3.0, 3.0, 1.65365263, 0.0, 0.0, 0.0, 1.22152191, 2.14535257, 3.0, 3.0, 2.41396084, 1.64825284]",0.9995693240799596,0.9209602481015304,0.9996561474017377
79,0.0769230769230769,4,13,"[2.94037727, 2.33163804, 1.78828629, 1.53691764, 0.792807, 0.5236126, 0.8754181, 1.84818364, 3.49894809, 3.56598942, 3.4559403, 2.10826174, 1.40657165]",0.9999933220931928,0.8463579875126662,0.9999552884017036
80,0.0769230769230769,5,13,"[0.0, 3.60493346, 1.34723676, 3.02338557, 3.05343091, 2.42727582, 1.65895941, 2.66212232, 3.99856172, 1.95496447, 4.57103531, 4.03778338, 3.14276991]",0.9999917034752004,0.772287824381912,0.9999505581841363
81,0.0769230769230769,6,13,"[0.0, 0.0, 4.34550869, 4.07948309, 3.90502399, 3.21177839, 2.64707125, 0.42530779, 0.0, 2.13926982, 2.49756957, 1.38865573, 0.0]",0.999968637229155,0.7486811172492307,0.9999282138847744
82,0.0769230769230769,8,13,"[4.97048971, 5.21838584, 4.63487349, 2.13616495, 0.90812203, 4.61908624, 4.04585187, 3.50781126, 3.60906426, 5.74796522, 5.10568517, 4.9102449, 2.17998561]",0.9998603421843034,0.1046906384998195,0.999582522945667
83,0.0769230769230769,10,13,"[0.60740962, 0.48700933, 3.22209102, 0.13876112, 0.0, 0.0, 0.40428419, 0.12078881, 1.47163539, 2.07268021, 3.91285387, 3.78738111, 3.15944245]",0.9999970180849846,0.7954679606248404,0.9999612853860861
84,0.0769230769230769,2,14,"[0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.43580794, 2.0, 2.0, 2.0, 1.54572189]",0.655647604174567,0.6435872602152312,0.6571580094537205
85,0.0769230769230769,3,14,"[1.63380327, 3.0, 3.0, 3.0, 2.15583056, 0.0, 0.0, 0.0, 1.55955421, 2.41707082, 3.0, 3.0, 2.13504364, 1.58421451]",0.9996655108398042,0.9111439375690054,0.9997482873397958
86,0.0769230769230769,4,14,"[2.32243241, 0.311356, 1.68925154, 3.37609797, 2.79420661, 1.8517636, 2.00062808, 1.25809964, 2.56401952, 2.45209519, 2.76029606, 3.98158015, 3.83377598, 3.02951596]",0.9999973251973115,0.7802557669701158,0.999953940134719
87,0.0769230769230769,5,14,"[0.57526533, 3.88115073, 3.3817958, 3.02386216, 2.37396422, 2.19648459, 0.0740738, 0.22309597, 2.07740081, 3.00891305, 2.47905672, 2.7129907, 2.35241704, 2.07833117]",0.9999977556069944,0.8689770288933177,0.9999607828968806
88,0.0769230769230769,6,14,"[3.43890405, 3.47126519, 0.66021314, 3.21543406, 2.69307114, 0.95287576, 2.86121012, 2.3868275, 1.28003489, 3.53758717, 3.64743307, 3.10269474, 4.16699213, 3.79575526]",0.999986646128428,0.665794579900251,0.9999431994296046
89,0.0769230769230769,8,14,"[0.0, 5.76187523, 1.95178084, 4.65392159, 3.85087708, 0.0, 2.26650007, 3.86994715, 3.969765, 5.08231125, 0.0, 4.20251741, 4.07585387, 0.0]",0.9971050940541576,0.1898308334950783,0.996980658631379
90,0.0769230769230769,10,14,"[3.12849099, 3.57410414, 3.46863073, 6.7560521, 4.12507703, 6.33787769, 0.93925181, 0.0, 2.28141629, 7.07955375, 3.85820417, 5.02616974, 0.0, 0.0]",0.9609532090294962,0.0912030955034418,0.960522491504825
91,0.0769230769230769,2,15,"[0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.4370916, 2.0, 2.0, 2.0, 1.54615796, 0.0]",0.6556476027792626,0.6435821682602976,0.657157926371354
92,0.0769230769230769,3,15,"[0.0, 3.0, 3.0, 3.0, 1.65480827, 0.0, 0.0, 0.0, 1.223238, 2.14598059, 3.0, 3.0, 2.41392714, 1.64841355, 0.0]",0.999569324674344,0.920946697095948,0.9996561507085799
93,0.0769230769230769,4,15,"[0.674783, 1.98725721, 2.77445101, 3.37351876, 3.15248317, 2.86872136, 1.69225217, 0.9479075, 0.4195115, 1.69867812, 1.5718756, 2.95950184, 3.08234397, 2.57322173, 0.13098301]",0.9999996115404582,0.8958942508354197,0.9999628845288581
94,0.0769230769230769,5,15,"[0.64460682, 0.47055335, 0.19589962, 2.94900019, 2.57041847, 2.44196132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.61413938, 3.519636, 3.5151584, 2.87628256]",0.9999840811967484,0.8724423430950615,0.9999478277315985
95,0.0769230769230769,6,15,"[5.07483191, 5.2139513, 5.1251603, 4.05192185, 2.01428393, 2.35714958, 0.5546389, 2.59299996, 2.98582865, 1.70021994, 1.74596612, 4.83016986, 4.22061646, 3.93147332, 2.43493165]",0.9999967478175,0.2135012340988059,0.999787094128999
96,0.0769230769230769,8,15,"[3.60440593, 5.44574093, 4.89788438, 5.52192329, 4.14934123, 4.88034572, 5.25414808, 3.83198761, 4.27953288, 4.49052396, 6.86153058, 2.81511124, 0.01079702, 0.51044259, 1.98984824]",0.9999900940425656,0.0978924174321875,0.9996994288574355
97,0.0769230769230769,10,15,"[9.91105527, 3.55360091, 3.61382756, 5.37748088, 5.94211522, 9.03089865, 0.0, 7.00874622, 8.02824141, 0.0, 3.84867593, 2.41933918, 4.18053044, 4.99830304, 6.83318756]",0.9783897038570598,0.0830926129046416,0.8681097471616214
98,0.0769230769230769,2,16,"[0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.4374418, 2.0, 2.0, 2.0, 1.54598481, 0.0]",0.6556476008220861,0.6435838708145348,0.6571579159174263
99,0.0769230769230769,3,16,"[0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 1.65466943, 0.000980893841, 0.0, 0.0, 1.22437095, 2.14687722, 3.0, 3.0, 2.41400326, 1.64928277]",0.9995693272894433,0.9209162430074496,0.999656260604779
100,0.0769230769230769,4,16,"[0.83093504, 0.0, 0.0, 2.10521188, 3.46665956, 2.77389036, 0.22988597, 0.1306046, 0.86739215, 0.16249172, 1.21165408, 2.85668221, 3.247835, 3.24689537, 2.85721714, 2.3522673]",0.999999527346534,0.8834627194070871,0.9999684735853408
101,0.0769230769230769,5,16,"[2.79600344, 0.11515814, 1.57825606, 2.55541797, 1.33592394, 3.34732068, 1.76514571, 0.08670706, 2.42573766, 0.0, 4.16343961, 2.13159645, 4.3383699, 4.40993962, 2.8922303, 0.0]",0.9999931832954094,0.7238673427335083,0.9999530929520806
